# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 44, mean track length: 2
1 0.2581123600102333 -12.45161555033927 21.020418554360923 23 67 16 2.1172228440556808 22 5 24 7
2 0.1285858843392198 -8.2933333370727915 22.503727660519552 104 151 96 0.22241397544407412 22 255 24 55
3 -0.4101577439551658 -5.1179418928447955 24.157978728525755 72 109 55 0.091246961378027625 22 271 24 74
4 -0.12785888704799886 -4.8017427960876926 24.182929155829012 60 92 43 0.096495839440484482 22 274 24 77
5 -0.00844636845713298 -2.9617168103236651 23.892420482892536 107 143 95 0.2749925507758717 22 290 24 96
6 -0.85344392341000308 -2.7878886202724718 23.952350034942317 96 135 77 0.92324539384910176 22 291 24 100
7 1.1712402137074207 -2.6226770334250649 23.994533046227982 19 42 3 0.33721722899662854 22 118 24 105
8 1.1712402137074207 -2.6226770334250649 23.994533046227982 19 42 3 0.33721722899662854 22 119 24 106
9 -0.63484427947153144 -2.4598349129722799 23.698420680781755 108 147 93 0.36099248157345715 22 294 24 107
10 0.39385392949132481 -2.3594798666458523 23.807148786793874 30 62 15 0.47752396974727795 22 292 24 109
11 0.39385392949132481 -2.3594798666458523 23.807148786793874 30 62 15 0.47752396974727795 22 293 24 110
12 0.6006095489555392 -9.1938935316251911 21.897049426588715 107 133 88 0.082358076196778485 22 357 24 183
13 0.47452204988396796 -9.0590579028828628 21.98687738437274 76 108 63 0.15134289864663841 22 360 24 185
14 0.37237130963845289 -6.8530186317523576 23.487564524086899 82 110 69 0.64861087046046362 22 368 24 195
15 -1.0045124860412948 -3.4249618561279638 24.102160850528591 133 177 118 0.37814305884568533 22 380 24 210
16 -0.752547636557932 -3.1940444656200659 23.925510601406533 120 159 102 0.33994603021739062 22 284 24 214
17 -0.30166419071176742 -4.034169705444234 24.03089870378194 100 134 84 0.10502496524935331 22 378 24 272
18 -0.16165742573349506 -4.5937303148421691 24.191341976959233 76 106 56 0.15583389739183776 22 432 24 313
19 -0.16165742573349506 -4.5937303148421691 24.191341976959233 76 106 56 0.15583389739183776 22 431 24 314
20 0.098429924839550154 -3.8181614755973756 24.037940441821569 87 119 70 0.14185786078577597 22 495 24 317
21 0.64427131352764633 -2.4536002555891958 23.878016029148302 72 100 57 0.15953603561146196 22 498 24 321
22 -0.84865327129198453 -0.77405749870643037 23.447513741566766 41 82 24 0.037258805189729086 22 501 24 326
23 -0.84865327129198453 -0.77405749870643037 23.447513741566766 41 82 24 0.037258805189729086 22 502 24 327
24 0.85334296195961223 -9.8307750245630281 21.554641102862629 32 70 23 0.1704369241380882 22 482 24 351
25 -0.25042070624704715 -6.96950659876949 23.491804706704613 163 208 153 0.54445718597630965 22 529 24 356
26 -0.022229884575442949 -6.9367136508100042 23.642931529331655 43 82 37 0.031677130883459734 22 532 24 357
27 0.042504242624414879 -4.4969733660939024 24.21332531992411 96 130 80 0.080109589380805535 22 494 24 362
28 -0.39854843651379346 -3.9970454037136887 24.102622297327322 93 127 76 0.069638322667825825 22 536 24 363
29 -0.18040104909732468 -1.5162398117805498 23.40420266005717 86 116 70 0.42476720844550142 22 499 24 371
30 0.78124139407489324 -8.4715537264715994 22.31594418288072 93 116 74 0.24930939504714786 22 525 24 389
31 -0.038892651621730945 -4.0490099147325358 24.171314609244057 40 73 28 0.038419192967615839 22 558 24 393
32 -0.41981453940290914 -1.5893557119991706 23.64333258400244 40 73 26 0.25678768656940232 22 540 24 397
33 0.79112760282409567 -10.299068323353264 21.203465970690246 118 145 100 0.20553196222391121 22 569 24 407
34 0.54751687905687585 -9.7775604907260387 21.561822051468052 95 130 85 0.5637094037287258 22 570 24 408
35 -1.1295467840122919 -4.6433497299670767 24.321032664107619 53 97 39 0.22194691260520075 22 573 24 413
36 -0.19900593515870835 -1.1736848317647999 23.511250543581141 83 110 65 0.76593879575963841 22 577 24 433
37 1.36196857230315 -3.3957619046651391 24.29651570321592 33 62 18 0.077786651460564168 22 614 24 443
38 0.90195954034281978 -2.149910563283659 23.861232325088327 30 59 15 0.57618491725430632 22 590 24 445
39 -0.51716648004080223 -0.68584733374264584 23.384842287864771 39 75 27 0.063408453111233429 22 597 24 446
40 0.28037938038974053 -3.4242381994623456 24.074711501448732 81 110 64 0.38286077482211123 22 631 24 466
41 0.97387562947688044 -12.644485601503145 21.20663691430175 37 66 22 2.6928055587544408 22 626 24 477
42 0.6387955702183572 -7.7458054064304989 22.824962921190721 96 124 83 0.07481704560016765 24 262 22 421
43 0.23369593699501934 -6.9008689624548811 23.428965030616293 73 104 62 0.10772337258369269 24 358 22 530
44 0.23369593699501934 -6.9008689624548811 23.428965030616293 73 104 62 0.10772337258369269 24 359 22 531
