# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 135, mean track length: 2
104 3.0754021794673934 1.9823084248907454 13.452117860374939 125 121 112 0.48875969728817087 95 783 93 633
105 4.1906430721767665 2.3710373688367339 13.037424572409604 118 116 104 0.088475134271124439 95 745 93 642
106 4.2164938678559292 2.4343666917095605 13.024923542969772 120 116 105 0.27073253649853701 95 744 93 643
107 4.2367547517526747 2.496952783770888 13.011397374601904 120 118 106 0.36489075492433592 95 741 93 644
108 4.2164187433797551 2.5440654063475248 13.018918106008513 80 76 65 0.16984252810461314 95 740 93 646
109 4.261916493734736 2.6251636678430237 12.993547028487045 123 119 108 0.37872145121305034 95 735 93 649
110 4.2662215075318155 2.7545738882979172 12.981290626752598 123 121 109 0.35024542914580148 95 730 93 652
111 4.2532992864500638 2.8804578583361611 12.977528747748281 120 118 106 0.44619109511223376 95 725 93 654
112 3.77108408072068 3.2054712775798926 13.167463078235484 136 135 131 0.14388503273771197 95 712 93 656
113 4.0574595557798281 3.2295547363374721 13.0300564777598 63 59 48 0.032311124303772629 95 710 93 658
114 4.0574595557798281 3.2295547363374721 13.0300564777598 63 59 48 0.032311124303772629 95 711 93 659
115 3.7646394334271527 3.269921833519676 13.174184175061345 108 107 103 0.059605497539829154 95 765 93 660
116 3.7646394334271527 3.269921833519676 13.174184175061345 108 107 103 0.059605497539829154 95 764 93 661
117 2.9141023158031936 2.4679169310562123 13.618373910302525 118 117 113 0.34860963191398148 95 828 93 684
118 2.9141023158031936 2.4679169310562123 13.618373910302525 118 117 113 0.34860963191398148 95 829 93 685
119 3.116250264178607 2.6403402544015244 13.470908762195931 90 85 79 0.15806765304204656 95 770 93 688
120 3.116250264178607 2.6403402544015244 13.470908762195931 90 85 79 0.15806765304204656 95 771 93 689
121 4.112911558828122 2.7095314593854081 13.054787722885294 140 137 128 0.18925921990487496 95 772 93 690
123 3.1827373898108311 2.6986336804311204 13.477825654141043 80 75 69 0.14470008765928849 95 769 93 692
124 3.1602004260867655 2.7633502478137983 13.497602916611807 107 102 98 0.24155074175530836 95 768 93 693
125 3.0532228758868301 2.0946617275839534 13.468699010598494 132 128 119 0.11910269635593231 95 861 93 715
126 4.2190278665083962 2.4729487494622067 13.016110692911541 122 118 107 0.57632815805629178 95 831 93 719
127 4.2051361066242814 2.5971457841382612 13.015861253574826 128 124 113 0.82344054198243666 95 825 93 722
128 4.2051361066242814 2.5971457841382612 13.015861253574826 128 124 113 0.82344054198243666 95 826 93 723
129 3.1713439779418198 2.5842598210428811 13.477036599574101 132 128 119 0.18478277482536415 95 857 93 727
130 3.5497457368465986 2.6904716949553191 13.320318160576498 115 108 98 0.72372868915934485 95 819 93 730
131 3.6485101400630482 2.7758196412651182 13.282954060207411 122 116 104 0.031437388689902604 95 818 93 731
132 3.4322350597066951 2.8102598889489592 13.371049812131835 98 91 83 0.059875057923524821 95 854 93 734
133 3.5212433819890503 2.8975322454363548 13.324378244889509 97 91 79 0.033087156221972752 95 853 93 735
134 3.7215451541020448 3.1145170863209071 13.207018140299457 114 108 96 0.50141085925981299 95 813 93 739
135 3.8773754318130242 3.3134956656437189 13.079996573677468 150 149 144 1.0465372287536514 95 808 93 744
136 3.5669388705537757 2.8048799731807437 13.314127172390531 41 40 31 0.064527949984063207 95 879 93 748
137 3.7095613077001293 3.3136243260174791 13.132832095508437 139 136 131 1.0395272031790488 95 851 93 749
138 3.641805003835981 2.9717900871116547 13.26685477347826 108 101 91 0.20299059925217222 95 878 93 754
